@RELATION campuslens_complaints

@ATTRIBUTE complaint STRING
@ATTRIBUTE zone STRING
@ATTRIBUTE facility STRING
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'lights flicker repeatedly inside ts17','Academic & Teaching','H5 Boys Hostel',10,48,61,4,Electrical
'waiting time at annapurna / main mess is more than twenty minutes near a water cooler','Food','Annapurna / Main Mess',14,96,67,5,Canteen
'internet disconnects repeatedly during the lecture in ts17','Library & Study','CL15',12,43,75,4,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',14,58,63,4,Canteen
'computer fails to boot during practical class in cs1','Labs & Research','CL22',13,56,77,2,Lab_Equipment
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',14,88,34,5,Canteen
'internet disconnects repeatedly during the lecture in cr425','Labs & Research','CL15',11,95,43,4,Network
'three lab systems freeze during compilation in ff6','Labs & Research','CL1',10,53,44,1,Lab_Equipment
'air conditioner stops cooling after noon on floor 1','Hostels','H5 Boys Hostel',9,54,52,3,Electrical
'computer fails to boot during practical class in ts17','Labs & Research','ECE Labs',15,80,72,4,Lab_Equipment
'lights flicker repeatedly inside cs1 this happens repeatedly near a water cooler','Hostels','A2/1',17,52,87,4,Electrical
'computer fails to boot during practical class in cr425','Labs & Research','CL1',16,34,20,1,Lab_Equipment
'water is leaking into the corridor on floor 2 near a water cooler','General & Utilities','Water cooler',15,46,78,2,Water
'very weak wifi signal on floor 2 of cl3 and the room is overcrowded','Library & Study','CL3',12,99,46,4,Network
'broken writing desk is blocking the aisle in ff6','Academic & Teaching','A2/2',10,58,87,1,Infrastructure
'classroom door and several chairs need repair on ground floor after a power interruption','Labs & Research','Aryabhatt Bhawan II',18,76,65,4,Infrastructure
'waiting time at cafeteria / canteen is more than twenty minutes and the room is overcrowded','Food','Cafeteria / Canteen',13,90,43,2,Electrical
'canteen queue is very long at 14 00 with one counter open beside the canteen queue','Food','Cafeteria / Canteen',14,92,59,3,Canteen
'computer fails to boot during practical class in ts17','Labs & Research','CL1',12,22,22,1,Cleanliness
'water is leaking into the corridor on floor 3','Hostels','Girls Hostel',17,67,56,3,Cleanliness
'floor near h4 boys hostel is dirty and slippery','General & Utilities','H4 Boys Hostel',9,5,47,3,Cleanliness
'projector hdmi port is loose in ff6','Labs & Research','Aryabhatt Bhawan II',11,33,54,2,Infrastructure
'food counter is overcrowded between 13 00 and 15 00 after a power interruption','Food','Cafeteria / Canteen',13,60,47,3,Canteen
'projector in cl3 switches off after ten minutes while the wifi is also unstable','Academic & Teaching','Aryabhatt Bhawan II',16,69,44,3,Infrastructure
'washroom near cr425 has not been cleaned today students cannot continue class while the wifi is also unstable','Academic & Teaching','Aryabhatt Bhawan III',9,73,49,4,Cleanliness
'classroom door and several chairs need repair on ground floor please fix urgently','Academic & Teaching','A2/1',14,56,56,1,Infrastructure
'projector in cr425 switches off after ten minutes','Labs & Research','A2/1',13,50,51,3,Infrastructure
'internet disconnects repeatedly during the lecture in cs1','Library & Study','CL15',11,59,39,1,Network
'garbage is overflowing in the corridor on floor 2','Academic & Teaching','Aryabhatt Bhawan III',11,29,73,2,Cleanliness
'water point near girls hostel is not operational','General & Utilities','Water cooler',12,86,53,3,Water
'two ceiling fans are not working in ts17','Academic & Teaching','H5 Boys Hostel',8,64,65,3,Electrical
'internet disconnects repeatedly during the lecture in cl3 please fix urgently and the room is overcrowded','Library & Study','CL3',10,97,59,3,Other
'internet disconnects repeatedly during the lecture in cl22','Labs & Research','CL15',10,61,51,2,Cleanliness
'very weak wifi signal on floor 3 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',10,75,50,3,Network
'very weak wifi signal on floor 1 of cl3','Library & Study','CL3',10,100,46,3,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',14,79,81,2,Canteen
'monitor and keyboard are not detected at workstation in cl22','Labs & Research','CL3',18,56,57,2,Lab_Equipment
'garbage is overflowing in the corridor on floor 4','Hostels','Aryabhatt Bhawan III',8,84,50,4,Cleanliness
'three lab systems freeze during compilation in cl22','Labs & Research','ECE Labs',8,76,37,1,Lab_Equipment
'canteen queue is very long at 12 00 with one counter open','Food','Cafeteria / Canteen',12,94,58,3,Canteen
'projector hdmi port is loose in g2','Labs & Research','CL3',11,79,59,2,Infrastructure
'water is leaking into the corridor on ground floor','Sports & Recreation','Water cooler',12,29,96,2,Water
'projector in cs1 switches off after ten minutes','Academic & Teaching','A2/1',17,25,54,2,Infrastructure
'projector in cl15 switches off after ten minutes','Labs & Research','A2/2',14,41,42,3,Infrastructure
'floor near h4 boys hostel is dirty and slippery beside the canteen queue','Hostels','H4 Boys Hostel',12,31,39,2,Cleanliness
'broken writing desk is blocking the aisle in cl22 students cannot continue class','Academic & Teaching','A2/2',14,57,77,5,Infrastructure
'floor near aryabhatt bhawan iii is dirty and slippery','Hostels','Aryabhatt Bhawan III',10,54,52,2,Cleanliness
'computer fails to boot during practical class in cl3 please fix urgently beside the canteen queue','Labs & Research','CL3',11,54,82,2,Lab_Equipment
'internet disconnects repeatedly during the lecture in g2','Library & Study','LRC',11,69,51,4,Network
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,68,54,3,Canteen
'internet disconnects repeatedly during the lecture in ts17','Labs & Research','Aryabhatt Bhawan II',11,73,37,3,Network
'lights flicker repeatedly inside cs1','Hostels','H5 Boys Hostel',16,51,51,1,Lab_Equipment
'floor near aryabhatt bhawan iii is dirty and slippery near a water cooler','Hostels','Aryabhatt Bhawan III',11,35,50,4,Lab_Equipment
'classroom door and several chairs need repair on floor 3','Labs & Research','Aryabhatt Bhawan II',15,47,68,3,Infrastructure
'spill outside ff6 creates a safety hazard','Hostels','H4 Boys Hostel',17,60,51,3,Cleanliness
'very weak wifi signal on floor 1 of cl3','Library & Study','CL3',14,88,71,5,Network
'student common area is overcrowded after 16 00','General & Utilities','Parking',16,63,48,1,Other
'classroom door and several chairs need repair on floor 1','Labs & Research','CL3',17,36,70,3,Infrastructure
'air conditioner stops cooling after noon on floor 4 please fix urgently','Academic & Teaching','A2/1',15,65,51,1,Electrical
'very weak wifi signal on floor 1 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',9,88,52,5,Network
'classroom door and several chairs need repair on floor 1','Academic & Teaching','A2/1',13,63,53,2,Infrastructure
'garbage is overflowing in the corridor on floor 4','Hostels','Washrooms',15,83,73,4,Cleanliness
'drinking water cooler near ff6 is empty','Hostels','Swimming Pool',15,55,79,1,Water
'parking congestion blocks the entrance near parking near a water cooler','Sports & Recreation','Parking',15,28,68,2,Other
'laboratory equipment reports a calibration error in cl22','Labs & Research','CL1',14,46,65,2,Electrical
'broken writing desk is blocking the aisle in ff6 students cannot continue class','Labs & Research','A2/2',9,48,55,3,Infrastructure
'internet disconnects repeatedly during the lecture in cl15','Academic & Teaching','LRC',11,61,66,2,Network
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,85,46,3,Canteen
'projector in cl15 switches off after ten minutes students cannot continue class','Labs & Research','Aryabhatt Bhawan II',14,16,81,2,Infrastructure
'internet disconnects repeatedly during the lecture in cr425','Labs & Research','CL15',12,63,70,1,Network
'canteen queue is very long at 13 00 with one counter open this happens repeatedly','Food','Cafeteria / Canteen',13,58,34,1,Canteen
'laboratory equipment reports a calibration error in cl22 please fix urgently','Labs & Research','CL22',16,41,73,1,Lab_Equipment
'internet disconnects repeatedly during the lecture in cl15','Academic & Teaching','CL3',11,63,67,3,Network
'network authentication fails for students around aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',12,63,41,2,Network
'canteen queue is very long at 13 00 with one counter open','Food','Cafeteria / Canteen',13,73,88,2,Canteen
'low water pressure reported around water cooler please fix urgently','General & Utilities','Water cooler',8,39,59,3,Water
'water is leaking into the corridor on ground floor','General & Utilities','Swimming Pool',8,62,63,2,Water
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,89,64,1,Canteen
'classroom door and several chairs need repair on ground floor','Academic & Teaching','A2/2',13,55,62,4,Infrastructure
'low water pressure reported around water cooler','Hostels','Water cooler',8,47,48,4,Water
'broken writing desk is blocking the aisle in cl22','Labs & Research','CL3',16,65,46,4,Infrastructure
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,61,61,3,Canteen
'network authentication fails for students around cl15','Library & Study','CL15',12,76,36,4,Network
'three lab systems freeze during compilation in g2','Labs & Research','ECE Labs',14,37,20,2,Lab_Equipment
'very weak wifi signal on floor 4 of cl15','Labs & Research','CL15',12,56,20,1,Network
'canteen queue is very long at 12 00 with one counter open','Food','Annapurna / Main Mess',12,91,71,3,Canteen
'internet disconnects repeatedly during the lecture in g2','Academic & Teaching','Aryabhatt Bhawan II',14,87,45,4,Network
'waiting time at cafeteria / canteen is more than twenty minutes near a water cooler','Food','Cafeteria / Canteen',14,70,74,4,Canteen
'network authentication fails for students around cl15 while the wifi is also unstable','Labs & Research','CL15',12,75,43,2,Network
'wifi becomes extremely slow near cs1 between 9 00 and 11 00 students cannot continue class','Library & Study','CL15',9,63,35,4,Network
'classroom door and several chairs need repair on ground floor','Academic & Teaching','A2/1',12,41,66,4,Infrastructure
'classroom door and several chairs need repair on floor 2 while the wifi is also unstable','Labs & Research','A2/2',17,19,36,3,Infrastructure
'internet disconnects repeatedly during the lecture in cl3','Academic & Teaching','Aryabhatt Bhawan II',14,100,59,1,Network
'projector hdmi port is loose in ts17','Labs & Research','CL3',16,54,51,2,Infrastructure
'very weak wifi signal on floor 3 of cl15','Academic & Teaching','CL15',11,78,55,5,Network
'washroom near cl22 has not been cleaned today','Academic & Teaching','Aryabhatt Bhawan III',13,66,75,3,Cleanliness
'washroom near cl22 has not been cleaned today students cannot continue class','Academic & Teaching','Aryabhatt Bhawan III',8,99,51,3,Cleanliness
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,68,59,3,Canteen
'classroom door and several chairs need repair on ground floor near a water cooler','Academic & Teaching','CL3',11,79,37,5,Infrastructure
'projector hdmi port is loose in cl3 students cannot continue class','Academic & Teaching','A2/1',13,78,54,2,Infrastructure
'very weak wifi signal on floor 2 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',10,84,57,3,Network
'very weak wifi signal on floor 1 of cl15 please fix urgently','Labs & Research','CL15',11,66,47,2,Network
'monitor and keyboard are not detected at workstation in cr425','Labs & Research','CL1',11,63,68,2,Lab_Equipment
'broken writing desk is blocking the aisle in cl22','Labs & Research','A2/1',14,100,43,3,Infrastructure
'spill outside cs1 creates a safety hazard and the room is overcrowded','Academic & Teaching','Aryabhatt Bhawan III',12,69,72,3,Cleanliness
'projector hdmi port is loose in cl22','Labs & Research','A2/2',13,38,79,1,Infrastructure
'air conditioner stops cooling after noon on floor 3 while the wifi is also unstable','Labs & Research','A2/1',15,38,73,3,Electrical
'wifi becomes extremely slow near cl3 between 9 00 and 11 00','Library & Study','Aryabhatt Bhawan II',9,84,59,2,Network
'laboratory equipment reports a calibration error in ff6','Labs & Research','CL22',9,52,66,1,Lab_Equipment
'projector in g2 switches off after ten minutes this happens repeatedly while the wifi is also unstable','Labs & Research','Aryabhatt Bhawan II',13,66,47,1,Infrastructure
'floor near h4 boys hostel is dirty and slippery','Academic & Teaching','H4 Boys Hostel',17,36,42,2,Cleanliness
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,100,43,2,Canteen
'two ceiling fans are not working in cl3','Labs & Research','A2/1',16,23,66,4,Other
'three lab systems freeze during compilation in g2 this happens repeatedly','Labs & Research','CL3',16,72,35,3,Lab_Equipment
'three lab systems freeze during compilation in cl22 students cannot continue class','Labs & Research','CL1',10,71,66,2,Lab_Equipment
'wifi becomes extremely slow near cl22 between 12 00 and 14 00','Academic & Teaching','LRC',12,100,56,2,Network
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',14,99,60,4,Canteen
'broken writing desk is blocking the aisle in cr425 this happens repeatedly','Labs & Research','A2/2',11,43,27,4,Infrastructure
'classroom door and several chairs need repair on ground floor','Labs & Research','CL3',12,64,56,3,Infrastructure
'monitor and keyboard are not detected at workstation in cl22','Labs & Research','CL22',14,48,80,1,Lab_Equipment
'low water pressure reported around swimming pool','General & Utilities','Swimming Pool',9,66,87,3,Water
'classroom door and several chairs need repair on floor 4','Labs & Research','CL3',12,72,64,3,Infrastructure
'monitor and keyboard are not detected at workstation in ff6','Labs & Research','CL3',10,48,32,3,Lab_Equipment
'monitor and keyboard are not detected at workstation in cr425 while the wifi is also unstable','Labs & Research','CL1',11,79,76,2,Lab_Equipment
'signage is missing for g2 on floor 4','Administration','Administration Block',8,50,25,2,Other
'projector hdmi port is loose in cs1','Labs & Research','Aryabhatt Bhawan II',18,44,20,3,Infrastructure
'very weak wifi signal on ground floor of cl15','Labs & Research','CL15',10,78,46,2,Network
'monitor and keyboard are not detected at workstation in cr425','Labs & Research','ECE Labs',16,62,67,2,Lab_Equipment
'canteen queue is very long at 12 00 with one counter open and the room is overcrowded','Food','Annapurna / Main Mess',12,100,66,2,Canteen
'washroom near cl15 has not been cleaned today and the room is overcrowded','General & Utilities','Washrooms',16,62,56,4,Cleanliness
'network authentication fails for students around cl15','Labs & Research','CL15',10,99,57,2,Network
'projector hdmi port is loose in ff6','Labs & Research','A2/2',8,25,58,2,Infrastructure
'drinking water cooler near g2 is empty','Hostels','Girls Hostel',16,52,47,3,Water
'projector hdmi port is loose in ts17','Academic & Teaching','A2/2',15,58,59,2,Infrastructure
'wifi becomes extremely slow near cl15 between 11 00 and 13 00 this happens repeatedly','Labs & Research','CL15',11,59,58,2,Network
'garbage is overflowing in the corridor on floor 1 students cannot continue class beside the canteen queue','Hostels','Washrooms',16,46,43,2,Lab_Equipment
'projector in cs1 switches off after ten minutes while the wifi is also unstable','Academic & Teaching','CL3',13,60,52,1,Infrastructure
'three lab systems freeze during compilation in ff6 please fix urgently','Labs & Research','CL15',12,37,73,4,Lab_Equipment
'monitor and keyboard are not detected at workstation in cr425 beside the canteen queue','Labs & Research','CL22',16,70,36,2,Lab_Equipment
'projector in cs1 switches off after ten minutes beside the canteen queue','Labs & Research','A2/1',18,74,45,1,Infrastructure
'low water pressure reported around girls hostel students cannot continue class','Hostels','Girls Hostel',13,21,87,1,Water
'washroom near cs1 has not been cleaned today','Hostels','Aryabhatt Bhawan III',17,68,89,2,Cleanliness
'spill outside cl22 creates a safety hazard','General & Utilities','Washrooms',8,23,24,4,Cleanliness
'internet disconnects repeatedly during the lecture in cl15 beside the canteen queue','Library & Study','CL15',10,81,59,2,Network
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',10,100,73,2,Network
'network authentication fails for students around aryabhatt bhawan ii','Academic & Teaching','Aryabhatt Bhawan II',11,55,96,3,Network
'projector hdmi port is loose in g2','Academic & Teaching','A2/2',17,44,67,3,Infrastructure
'wifi becomes extremely slow near cl22 between 14 00 and 16 00','Academic & Teaching','CL15',14,78,37,2,Network
'broken writing desk is blocking the aisle in ff6','Labs & Research','Aryabhatt Bhawan II',12,62,26,4,Infrastructure
'water is leaking into the corridor on floor 1 after a power interruption','General & Utilities','Swimming Pool',8,74,96,4,Water
'network authentication fails for students around cl3','Library & Study','CL3',10,86,61,2,Network
'air conditioner stops cooling after noon on floor 3 near a water cooler','Hostels','A2/1',12,65,35,5,Electrical
'laboratory equipment reports a calibration error in cl3','Labs & Research','CL15',13,91,35,3,Lab_Equipment
'wifi becomes extremely slow near cs1 between 10 00 and 12 00','Library & Study','CL15',10,95,45,3,Infrastructure
'wifi becomes extremely slow near cl3 between 10 00 and 12 00 beside the canteen queue','Labs & Research','CL15',10,67,43,4,Network
'washroom near cl3 has not been cleaned today','Academic & Teaching','Aryabhatt Bhawan III',17,78,75,2,Cleanliness
'spill outside cs1 creates a safety hazard','Academic & Teaching','Washrooms',8,44,75,3,Cleanliness
'washroom near cl22 has not been cleaned today after a power interruption','General & Utilities','H4 Boys Hostel',10,53,27,1,Cleanliness
'low water pressure reported around girls hostel','General & Utilities','Girls Hostel',16,61,71,3,Network
'monitor and keyboard are not detected at workstation in ts17','Labs & Research','CL1',12,12,43,1,Lab_Equipment
'water point near swimming pool is not operational','Hostels','Swimming Pool',13,73,69,2,Water
'student common area is overcrowded after 13 00 after a power interruption','General & Utilities','Auditorium',13,52,47,2,Other
'broken writing desk is blocking the aisle in ff6 students cannot continue class','Labs & Research','CL3',16,53,41,1,Infrastructure
'two ceiling fans are not working in g2','Labs & Research','CL22',16,74,82,2,Electrical
'spill outside cl3 creates a safety hazard','General & Utilities','Aryabhatt Bhawan III',17,37,36,4,Cleanliness
'washroom near cl3 has not been cleaned today','Academic & Teaching','Washrooms',8,67,83,1,Cleanliness
'broken writing desk is blocking the aisle in cr425 after a power interruption','Labs & Research','CL3',16,44,67,2,Infrastructure
'wifi becomes extremely slow near cr425 between 12 00 and 14 00','Library & Study','CL15',12,89,39,4,Cleanliness
'laboratory equipment reports a calibration error in cl3 after a power interruption','Labs & Research','CL1',10,54,71,2,Lab_Equipment
'projector in cs1 switches off after ten minutes while the wifi is also unstable','Labs & Research','Aryabhatt Bhawan II',9,49,41,1,Infrastructure
'network authentication fails for students around aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',12,75,57,1,Network
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,100,50,2,Canteen
'canteen queue is very long at 13 00 with one counter open please fix urgently','Food','Annapurna / Main Mess',13,66,61,3,Canteen
'water is leaking into the corridor on floor 1 students cannot continue class','Hostels','Swimming Pool',13,63,75,3,Water
'broken writing desk is blocking the aisle in ff6','Labs & Research','A2/1',9,54,66,3,Infrastructure
'drinking water cooler near cs1 is empty','Hostels','Girls Hostel',10,72,65,1,Water
'projector in ts17 switches off after ten minutes','Labs & Research','A2/2',17,68,54,4,Infrastructure
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',13,61,34,2,Canteen
'classroom door and several chairs need repair on floor 2 and the room is overcrowded','Academic & Teaching','CL3',10,50,64,1,Infrastructure
'internet disconnects repeatedly during the lecture in ff6','Academic & Teaching','CL15',12,48,58,1,Network
'food counter is overcrowded between 13 00 and 15 00 please fix urgently','Food','Cafeteria / Canteen',13,85,36,1,Canteen
'computer fails to boot during practical class in cl15 students cannot continue class','Labs & Research','CL22',18,48,60,1,Lab_Equipment
'two ceiling fans are not working in cl22','Hostels','A2/1',11,45,45,4,Electrical
'monitor and keyboard are not detected at workstation in cl15','Labs & Research','CL3',14,59,28,2,Lab_Equipment
'projector hdmi port is loose in cs1','Labs & Research','CL3',18,73,57,3,Infrastructure
'very weak wifi signal on ground floor of cl15','Academic & Teaching','CL15',9,92,48,2,Network
'broken writing desk is blocking the aisle in g2 near a water cooler','Labs & Research','A2/2',14,50,75,3,Infrastructure
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,94,20,4,Canteen
'washroom near cl3 has not been cleaned today','General & Utilities','H4 Boys Hostel',13,32,85,5,Cleanliness
'wifi becomes extremely slow near cl3 between 12 00 and 14 00','Library & Study','CL3',12,91,37,3,Network
'internet disconnects repeatedly during the lecture in cl3 and the room is overcrowded','Library & Study','CL3',14,92,36,1,Network
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,98,48,5,Canteen
'water is leaking into the corridor on floor 3','Sports & Recreation','Girls Hostel',17,49,74,3,Water
'internet disconnects repeatedly during the lecture in ff6 after a power interruption','Library & Study','CL3',10,67,32,3,Network
'water is leaking into the corridor on floor 2','General & Utilities','Water cooler',16,49,77,2,Water
'two ceiling fans are not working in cl22 near a water cooler','Academic & Teaching','H5 Boys Hostel',11,36,88,4,Electrical
'air conditioner stops cooling after noon on floor 4','Hostels','H5 Boys Hostel',11,40,81,3,Electrical
'network authentication fails for students around cl15','Labs & Research','CL15',9,56,66,2,Network
'network authentication fails for students around cl3 near a water cooler','Library & Study','CL3',9,74,65,4,Network
'network authentication fails for students around aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',9,63,76,2,Network
'washroom near ts17 has not been cleaned today this happens repeatedly','Academic & Teaching','Aryabhatt Bhawan III',15,50,64,1,Cleanliness
'very weak wifi signal on floor 1 of lrc','Library & Study','LRC',9,55,54,1,Other
'garbage is overflowing in the corridor on floor 3','Academic & Teaching','H4 Boys Hostel',11,71,70,1,Cleanliness
'floor near washrooms is dirty and slippery','General & Utilities','Washrooms',8,36,45,3,Cleanliness
'student common area is overcrowded after 17 00','Sports & Recreation','Main Gate',17,64,87,2,Other
'projector in cl3 switches off after ten minutes','Labs & Research','Aryabhatt Bhawan II',18,33,35,2,Infrastructure
'monitor and keyboard are not detected at workstation in ts17','Labs & Research','CL15',17,52,79,3,Lab_Equipment
'air conditioner stops cooling after noon on floor 2','Hostels','A2/1',11,25,57,3,Electrical
'power socket near the desk is unsafe in ff6','Academic & Teaching','CL22',8,53,79,3,Electrical
'waiting time at annapurna / main mess is more than twenty minutes beside the canteen queue','Food','Annapurna / Main Mess',12,100,76,2,Canteen
'projector in ff6 switches off after ten minutes','Academic & Teaching','CL3',17,39,68,2,Infrastructure
'water point near swimming pool is not operational','Sports & Recreation','Swimming Pool',15,70,90,5,Water
'internet disconnects repeatedly during the lecture in ts17 beside the canteen queue','Academic & Teaching','Aryabhatt Bhawan II',9,94,47,1,Network
'spill outside cl15 creates a safety hazard','General & Utilities','Washrooms',8,69,76,3,Infrastructure
'projector in ff6 switches off after ten minutes','Academic & Teaching','CL3',15,27,57,3,Infrastructure
'spill outside cl22 creates a safety hazard','Academic & Teaching','Washrooms',13,26,54,1,Cleanliness
'wifi becomes extremely slow near cs1 between 11 00 and 13 00 students cannot continue class and the room is overcrowded','Academic & Teaching','LRC',11,43,23,1,Infrastructure
'garbage is overflowing in the corridor on floor 4','Academic & Teaching','Washrooms',12,49,55,2,Cleanliness
'projector in cl3 switches off after ten minutes','Academic & Teaching','A2/2',10,85,76,1,Infrastructure
'three lab systems freeze during compilation in ts17','Labs & Research','CL22',16,64,30,3,Lab_Equipment
'wifi becomes extremely slow near cs1 between 10 00 and 12 00','Labs & Research','Aryabhatt Bhawan II',10,59,64,3,Network
'classroom door and several chairs need repair on floor 2 students cannot continue class','Academic & Teaching','A2/1',9,75,77,2,Infrastructure
'food counter is overcrowded between 14 00 and 16 00 after a power interruption','Food','Annapurna / Main Mess',14,63,74,5,Canteen
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/2',16,73,43,5,Infrastructure
'broken writing desk is blocking the aisle in g2 this happens repeatedly','Academic & Teaching','Aryabhatt Bhawan II',11,86,26,5,Infrastructure
'two ceiling fans are not working in cs1','Hostels','H5 Boys Hostel',9,53,96,3,Electrical
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,80,54,2,Canteen
'air conditioner stops cooling after noon on floor 1','Labs & Research','CL22',13,53,57,3,Electrical
'garbage is overflowing in the corridor on floor 4','Academic & Teaching','Washrooms',16,30,26,3,Cleanliness
'garbage is overflowing in the corridor on ground floor','General & Utilities','H4 Boys Hostel',12,88,39,4,Lab_Equipment
'air conditioner stops cooling after noon on ground floor please fix urgently while the wifi is also unstable','Academic & Teaching','A2/1',16,32,64,4,Electrical
'network authentication fails for students around cl3 and the room is overcrowded','Academic & Teaching','CL3',12,80,43,1,Network
'air conditioner stops cooling after noon on floor 1','Academic & Teaching','H5 Boys Hostel',9,20,20,2,Electrical
'broken writing desk is blocking the aisle in cl3','Labs & Research','A2/1',18,86,54,3,Infrastructure
'laboratory equipment reports a calibration error in cl22','Labs & Research','ECE Labs',13,63,57,5,Lab_Equipment
'network authentication fails for students around cl3','Library & Study','CL3',10,69,76,4,Network
'broken writing desk is blocking the aisle in g2 after a power interruption','Labs & Research','A2/1',12,53,52,2,Infrastructure
'classroom door and several chairs need repair on floor 3','Labs & Research','CL3',16,35,82,4,Infrastructure
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,94,47,3,Canteen
'very weak wifi signal on floor 1 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',9,54,21,1,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',12,100,41,4,Canteen
'canteen queue is very long at 14 00 with one counter open this happens repeatedly while the wifi is also unstable','Food','Annapurna / Main Mess',14,58,45,2,Canteen
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,78,69,5,Canteen
'computer fails to boot during practical class in cl3','Labs & Research','CL15',14,57,38,4,Lab_Equipment
'very weak wifi signal on floor 2 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',9,63,70,4,Network
'garbage is overflowing in the corridor on floor 2','Hostels','H4 Boys Hostel',15,55,76,3,Cleanliness
'projector in cl22 switches off after ten minutes','Academic & Teaching','A2/1',16,48,46,3,Infrastructure
'garbage is overflowing in the corridor on ground floor','Academic & Teaching','H4 Boys Hostel',14,28,66,3,Cleanliness
'classroom door and several chairs need repair on floor 1','Academic & Teaching','CL3',10,48,36,1,Infrastructure
'water is leaking into the corridor on ground floor','Sports & Recreation','Girls Hostel',12,75,87,4,Network
'water point near water cooler is not operational','General & Utilities','Water cooler',13,35,85,3,Water
'computer fails to boot during practical class in cl15','Labs & Research','CL1',10,78,38,3,Lab_Equipment
'projector hdmi port is loose in ff6 please fix urgently near a water cooler','Labs & Research','A2/2',18,73,31,2,Infrastructure
'internet disconnects repeatedly during the lecture in cl15','Labs & Research','Aryabhatt Bhawan II',9,33,71,3,Network
'broken writing desk is blocking the aisle in cs1','Academic & Teaching','A2/1',14,61,24,3,Infrastructure
'two ceiling fans are not working in cr425','Hostels','CL22',18,70,71,2,Electrical
'laboratory equipment reports a calibration error in cs1 this happens repeatedly','Labs & Research','CL1',12,64,41,3,Lab_Equipment
'very weak wifi signal on floor 1 of cl3 and the room is overcrowded','Academic & Teaching','CL3',14,48,66,5,Network
'wifi becomes extremely slow near ff6 between 12 00 and 14 00 students cannot continue class beside the canteen queue','Academic & Teaching','CL3',12,100,73,1,Infrastructure
'two ceiling fans are not working in cl15','Hostels','CL22',13,47,65,5,Electrical
'power socket near the desk is unsafe in cr425','Hostels','A2/1',9,37,58,3,Electrical
'waiting time at cafeteria / canteen is more than twenty minutes students cannot continue class','Food','Cafeteria / Canteen',13,96,60,3,Canteen
'internet disconnects repeatedly during the lecture in ts17','Library & Study','LRC',14,17,47,4,Network
'garbage is overflowing in the corridor on floor 4','Hostels','H4 Boys Hostel',13,54,29,3,Cleanliness
'air conditioner stops cooling after noon on floor 3','Labs & Research','H5 Boys Hostel',9,77,60,4,Electrical
'power socket near the desk is unsafe in ts17 after a power interruption','Labs & Research','CL22',14,23,66,1,Other
'monitor and keyboard are not detected at workstation in cs1 this happens repeatedly','Labs & Research','CL1',16,85,55,3,Lab_Equipment
'water point near girls hostel is not operational','General & Utilities','Girls Hostel',18,72,24,4,Water
'wifi becomes extremely slow near g2 between 9 00 and 11 00','Library & Study','LRC',9,70,55,1,Network
'spill outside cl22 creates a safety hazard beside the canteen queue','General & Utilities','Aryabhatt Bhawan III',14,39,40,2,Cleanliness
'wifi becomes extremely slow near g2 between 11 00 and 13 00 while the wifi is also unstable','Academic & Teaching','CL15',11,87,56,3,Network
'projector hdmi port is loose in ts17','Labs & Research','A2/2',15,50,63,3,Infrastructure
