@RELATION campuslens_complaints_v2

@ATTRIBUTE complaint STRING
@ATTRIBUTE facility_type {academic,lab,library,food,hostel,office,common,outdoor,utility,sports}
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'a repeated observation is that internet speed falls below a usable level in g5 without any warning notice and the issue lasts more than ten minutes at 10:05 case 825',academic,10,86,76,3,Other
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in ts18 laboratory equipment availability is affected and several students are affected at 8:39 case 826',academic,8,59,56,5,Lab_Equipment
'during the latest session the classroom door cannot close safely in ff6 the physical infrastructure needs attention during a regular teaching period at 10:26 case 827',academic,10,71,89,2,Infrastructure
'students report that several desks have loose or damaged fittings in group study after normal troubleshooting was attempted without any warning notice at 15:31 case 828',library,15,45,70,3,Infrastructure
'a repeated observation is that a campus service is unavailable without an explanation in ts18 campus operations are being disrupted without any warning notice at 9:56 case 830',academic,9,63,66,1,Other
'an urgent maintenance check is needed because the filtration unit shows a service warning in visitor parking during a regular teaching period during a regular teaching period at 17:14 case 831',outdoor,17,62,73,2,Water
'staff were informed that billing and collection lines are merging into one queue in cooler a the food service operation is affected while the area is moderately occupied at 12:43 case 834',utility,12,95,78,2,Canteen
'staff were informed that a tap continues running after it is closed in cs2 and it interrupts scheduled teaching and several students are affected at 13:43 case 836',academic,13,67,27,2,Water
'during the latest session the workstation cannot boot for the practical in cr202 while the area is moderately occupied and it interrupts scheduled teaching at 8:50 case 837',academic,8,82,53,2,Lab_Equipment
'please investigate because the projector loses its input after a few minutes in billing counter the physical infrastructure needs attention while another campus service remains normal at 13:06 case 838',food,13,57,45,2,Infrastructure
'for the second time this week the wired connection cannot reach institute services in ts18 the network service is affected while another campus service remains normal at 13:36 case 839',academic,13,59,44,4,Network
'for the second time this week the wired connection cannot reach institute services in cooler a the network service is affected while another campus service remains normal at 12:18 case 840',utility,12,73,84,3,Network
'today we noticed that ceiling plaster appears loose near the entrance in cl3-b and the issue lasts more than ten minutes near the main entrance to the space at 9:40 case 841',lab,9,38,51,4,Infrastructure
'for the second time this week order processing has stopped at one counter in digital area after normal troubleshooting was attempted and the condition has become more frequent at 10:31 case 842',library,10,73,60,3,Canteen
'please investigate because the service queue is moving very slowly in ts17 the food service operation is affected and several students are affected at 17:23 case 843',academic,17,44,55,3,Canteen
'an urgent maintenance check is needed because the filtration unit shows a service warning in g2 the water service needs attention while another campus service remains normal at 8:43 case 844',academic,8,37,64,4,Water
'students report that only one billing counter is open during the rush in cs2 the food service operation is affected although nearby rooms remain usable at 18:19 case 845',academic,18,62,41,2,Canteen
'a repeated observation is that the wash area needs urgent sanitation in backstage this is a hygiene and cleanliness concern without any warning notice at 12:42 case 846',common,12,65,64,5,Cleanliness
'for the second time this week order processing has stopped at one counter in main hall the food service operation is affected and staff assistance has been requested at 15:20 case 847',common,15,78,69,1,Canteen
'for the second time this week water is collecting beneath the dispenser in cr101 the water service needs attention without any warning notice at 17:18 case 849',academic,17,100,41,2,Water
'during the latest session students cannot authenticate to the wireless network in ts18 although nearby rooms remain usable without any warning notice at 16:14 case 851',academic,16,87,57,1,Network
'please investigate because several systems freeze during compilation in h4 corridor 1 laboratory equipment availability is affected and the condition has become more frequent at 8:47 case 852',hostel,8,82,50,4,Lab_Equipment
'a repeated observation is that a power socket is loose and unsafe in cl3-b and it interrupts scheduled teaching without any warning notice at 15:12 case 853',lab,15,45,46,2,Electrical
'during the latest session students cannot authenticate to the wireless network in h5 common room while another campus service remains normal near the main entrance to the space at 13:52 case 854',hostel,13,71,27,2,Network
'staff were informed that billing and collection lines are merging into one queue in cr202 during a regular teaching period and the condition has become more frequent at 12:29 case 855',academic,12,75,57,5,Canteen
'today we noticed that charging points are unavailable in cl3-a the electrical supply needs inspection during a regular teaching period at 15:38 case 856',lab,15,38,47,1,Cleanliness
'staff were informed that an unattended item is obstructing the walkway in counter a campus operations are being disrupted and the issue lasts more than ten minutes at 8:14 case 857',food,8,78,36,3,Other
'during the latest session the workstation cannot boot for the practical in ts18 and the condition has become more frequent near the main entrance to the space at 11:22 case 858',academic,11,82,67,4,Lab_Equipment
'a repeated observation is that the display cable and wall port need repair in cr101 and staff assistance has been requested and it interrupts scheduled teaching at 10:59 case 859',academic,10,47,39,1,Infrastructure
'a repeated observation is that the display cable and wall port need repair in cr102 while another campus service remains normal and the issue lasts more than ten minutes at 11:44 case 861',academic,11,90,72,4,Infrastructure
'for the second time this week the cleaning schedule appears to have been missed in main hall without any warning notice while the area is moderately occupied at 14:50 case 862',common,14,53,45,2,Cleanliness
'an urgent maintenance check is needed because the filtration unit shows a service warning in cooler a the water service needs attention without any warning notice at 17:34 case 863',utility,17,65,74,2,Water
'students report that the wifi signal is unstable for several devices in student parking the network service is affected while the area is moderately occupied at 10:32 case 864',outdoor,10,61,53,2,Network
'an urgent maintenance check is needed because video lectures buffer on the campus connection in h4 corridor 2 the network service is affected and staff assistance has been requested at 12:58 case 865',hostel,12,66,53,2,Network
'please investigate because the area has not been cleaned since the morning in h5 corridor 1 without any warning notice and the condition has become more frequent at 12:25 case 867',hostel,12,87,68,2,Cleanliness
'today we noticed that the notice board contains outdated information in cr101 and the issue lasts more than ten minutes and it interrupts scheduled teaching at 10:11 case 868',academic,10,56,44,3,Other
'please investigate because the projector loses its input after a few minutes in counter a and it interrupts scheduled teaching near the main entrance to the space at 8:01 case 869',food,8,33,48,5,Infrastructure
'an urgent maintenance check is needed because signage for the room is missing in g2 while the area is moderately occupied and staff assistance has been requested at 10:36 case 870',academic,10,59,58,5,Infrastructure
'for the second time this week the wired connection cannot reach institute services in h4 common room after normal troubleshooting was attempted without any warning notice at 11:07 case 871',hostel,11,54,72,3,Network
'a repeated observation is that laboratory equipment reports a calibration error in washroom g without any warning notice near the main entrance to the space at 15:24 case 873',utility,15,56,54,5,Lab_Equipment
'a repeated observation is that the nearest water point is not operational in g1 the water service needs attention after normal troubleshooting was attempted at 14:49 case 875',academic,14,95,53,3,Water
'for the second time this week the cleaning schedule appears to have been missed in ts18 and several students are affected and the condition has become more frequent at 8:50 case 877',academic,8,68,64,2,Cleanliness
'please investigate because the projector loses its input after a few minutes in ts18 although nearby rooms remain usable without any warning notice at 16:05 case 879',academic,16,63,46,2,Infrastructure
'for the second time this week the cleaning schedule appears to have been missed in washroom 1 and the issue lasts more than ten minutes and staff assistance has been requested at 10:05 case 880',utility,10,60,40,3,Cleanliness
'staff were informed that online resources time out during the session in h5 corridor 1 the network service is affected although nearby rooms remain usable at 9:30 case 881',hostel,9,60,45,2,Network
'during the latest session lights flicker repeatedly during use in ts12 while another campus service remains normal after normal troubleshooting was attempted at 13:43 case 882',academic,13,54,49,1,Electrical
'today we noticed that multiple computers show storage errors in h4 corridor 1 laboratory equipment availability is affected while another campus service remains normal at 13:51 case 883',hostel,13,94,60,4,Lab_Equipment
'today we noticed that charging points are unavailable in food court the electrical supply needs inspection without any warning notice at 8:48 case 886',food,8,49,54,2,Electrical
'for the second time this week water is collecting beneath the dispenser in reading hall without any warning notice near the main entrance to the space at 9:02 case 887',library,9,37,64,5,Water
'please investigate because parking congestion is blocking access in student parking although nearby rooms remain usable after normal troubleshooting was attempted at 13:06 case 888',outdoor,13,68,43,4,Other
'staff were informed that an electrical panel is making an unusual sound in ece-202 the electrical supply needs inspection and several students are affected at 9:15 case 890',lab,9,54,42,2,Electrical
'please investigate because the projector loses its input after a few minutes in cr202 the physical infrastructure needs attention and it interrupts scheduled teaching at 11:30 case 891',academic,11,79,58,5,Infrastructure
'students report that only one billing counter is open during the rush in ts18 the food service operation is affected and staff assistance has been requested at 13:40 case 892',academic,13,98,26,3,Canteen
'today we noticed that charging points are unavailable in washroom 1 although nearby rooms remain usable and it interrupts scheduled teaching at 9:20 case 893',utility,9,76,54,5,Electrical
'during the latest session students cannot authenticate to the wireless network in indoor court without any warning notice and several students are affected at 14:30 case 894',sports,14,47,71,4,Network
'a repeated observation is that the display cable and wall port need repair in cl22-a and the issue lasts more than ten minutes and several students are affected at 12:24 case 895',lab,12,88,64,5,Infrastructure
'a repeated observation is that internet speed falls below a usable level in digital area the network service is affected without any warning notice at 13:44 case 896',library,13,48,72,1,Network
'a repeated observation is that the queue extends into the walking area in digital area during a regular teaching period and staff assistance has been requested at 18:52 case 897',library,18,91,52,3,Canteen
'a repeated observation is that the wash area needs urgent sanitation in g6 without any warning notice and several students are affected at 13:24 case 898',academic,13,63,61,1,Cleanliness
'for the second time this week the ventilation fan does not start in gh corridor 1 the electrical supply needs inspection and it interrupts scheduled teaching at 16:39 case 899',hostel,16,52,34,3,Electrical
'today we noticed that multiple computers show storage errors in cl3-a laboratory equipment availability is affected after normal troubleshooting was attempted at 18:26 case 900',lab,18,55,44,5,Lab_Equipment
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in h4 corridor 1 the food service operation is affected near the main entrance to the space at 14:54 case 901',hostel,14,67,32,1,Canteen
'students report that several desks have loose or damaged fittings in cl3-a without any warning notice without any warning notice at 16:32 case 902',lab,16,47,48,4,Infrastructure
'during the latest session lights flicker repeatedly during use in cooler b the electrical supply needs inspection and several students are affected at 18:36 case 904',utility,18,77,67,4,Electrical
'please investigate because parking congestion is blocking access in backstage campus operations are being disrupted and the issue lasts more than ten minutes at 18:44 case 905',common,18,40,76,5,Other
'during the latest session lights flicker repeatedly during use in cs1 the electrical supply needs inspection although nearby rooms remain usable at 18:38 case 906',academic,18,37,55,1,Electrical
'staff were informed that dust and litter remain around the workstations in digital area and the condition has become more frequent during a regular teaching period at 15:39 case 908',library,15,14,35,1,Cleanliness
'during the latest session lights flicker repeatedly during use in h4 corridor 2 the electrical supply needs inspection after normal troubleshooting was attempted at 15:35 case 909',hostel,15,72,46,4,Electrical
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in reading hall laboratory equipment availability is affected although nearby rooms remain usable at 11:53 case 910',library,11,79,66,1,Lab_Equipment
'during the latest session students are waiting too long for food service in washroom 1 the food service operation is affected and staff assistance has been requested at 11:25 case 911',utility,11,86,30,3,Canteen
'during the latest session students cannot authenticate to the wireless network in student parking the network service is affected while the area is moderately occupied at 9:10 case 912',outdoor,9,66,33,2,Network
'students report that several desks have loose or damaged fittings in cr102 the physical infrastructure needs attention and it interrupts scheduled teaching at 9:41 case 913',academic,9,86,56,1,Infrastructure
'staff were informed that a tap continues running after it is closed in digital area and the issue lasts more than ten minutes and staff assistance has been requested at 10:51 case 914',library,10,48,95,3,Water
'for the second time this week order processing has stopped at one counter in counter a without any warning notice and the condition has become more frequent at 9:21 case 915',food,9,27,47,3,Canteen
'please investigate because the area has not been cleaned since the morning in gh corridor 1 and staff assistance has been requested and the issue lasts more than ten minutes at 15:00 case 917',hostel,15,75,42,4,Cleanliness
'students report that several desks have loose or damaged fittings in g3 the physical infrastructure needs attention and the condition has become more frequent at 9:18 case 918',academic,9,31,48,2,Infrastructure
'for the second time this week order processing has stopped at one counter in gate 1 during a regular teaching period and several students are affected at 11:47 case 920',outdoor,11,93,65,2,Canteen
'please investigate because several systems freeze during compilation in gh common room laboratory equipment availability is affected and staff assistance has been requested at 17:56 case 921',hostel,17,60,26,1,Lab_Equipment
'today we noticed that ceiling plaster appears loose near the entrance in cl1-a although nearby rooms remain usable near the main entrance to the space at 15:18 case 922',lab,15,54,56,2,Infrastructure
'students report that several desks have loose or damaged fittings in visitor parking the physical infrastructure needs attention and the issue lasts more than ten minutes at 13:22 case 923',outdoor,13,53,73,1,Infrastructure
'an urgent maintenance check is needed because pedestrian movement is restricted by stored material in student parking near the main entrance to the space during a regular teaching period at 17:30 case 924',outdoor,17,51,50,1,Other
'please investigate because several systems freeze during compilation in student parking laboratory equipment availability is affected without any warning notice at 8:09 case 925',outdoor,8,1,52,1,Lab_Equipment
'during the latest session students are waiting too long for food service in visitor parking the food service operation is affected and the issue lasts more than ten minutes at 13:49 case 926',outdoor,13,62,72,3,Canteen
'staff were informed that the experiment console does not record readings in indoor court laboratory equipment availability is affected and the issue lasts more than ten minutes at 9:31 case 927',sports,9,55,65,2,Lab_Equipment
'today we noticed that ceiling plaster appears loose near the entrance in backstage after normal troubleshooting was attempted without any warning notice at 13:23 case 928',common,13,52,56,3,Infrastructure
'students report that only one billing counter is open during the rush in g6 the food service operation is affected while the area is moderately occupied at 17:05 case 929',academic,17,61,45,4,Canteen
'staff were informed that an unattended item is obstructing the walkway in ts11 campus operations are being disrupted and the condition has become more frequent at 15:50 case 930',academic,15,49,41,3,Other
'staff were informed that the experiment console does not record readings in cl1-b after normal troubleshooting was attempted while the area is moderately occupied at 15:18 case 931',lab,15,68,43,2,Lab_Equipment
'during the latest session lights flicker repeatedly during use in ece-202 the electrical supply needs inspection and the condition has become more frequent at 12:54 case 935',lab,12,64,52,4,Electrical
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in digital area and staff assistance has been requested while the area is moderately occupied at 14:27 case 936',library,14,62,51,2,Canteen
'students report that the air conditioner stops cooling after midday in washroom 1 after normal troubleshooting was attempted near the main entrance to the space at 9:23 case 937',utility,9,48,57,1,Electrical
'during the latest session water pressure is too low for normal use in basketball court the water service needs attention and the issue lasts more than ten minutes at 9:41 case 938',sports,9,50,40,2,Water
'during the latest session a spill has made the floor slippery in reception and staff assistance has been requested and the condition has become more frequent at 18:11 case 939',office,18,64,59,2,Cleanliness
'please investigate because several systems freeze during compilation in ts12 during a regular teaching period although nearby rooms remain usable at 9:17 case 940',academic,9,50,50,1,Lab_Equipment
'a repeated observation is that the queue extends into the walking area in billing counter and the condition has become more frequent without any warning notice at 13:03 case 942',food,13,56,68,2,Canteen
'please investigate because the campus network drops repeatedly during class in main hall the network service is affected while another campus service remains normal at 14:17 case 943',common,14,98,40,2,Network
'please investigate because the projector loses its input after a few minutes in h5 corridor 2 the physical infrastructure needs attention during a regular teaching period at 18:09 case 944',hostel,18,45,66,2,Infrastructure
'a repeated observation is that internet speed falls below a usable level in h4 corridor 1 the network service is affected and several students are affected at 15:04 case 947',hostel,15,78,37,4,Network
'an urgent maintenance check is needed because signage for the room is missing in gh common room and staff assistance has been requested although nearby rooms remain usable at 9:03 case 948',hostel,9,61,64,4,Lab_Equipment
'staff were informed that online resources time out during the session in h5 corridor 2 while another campus service remains normal and several students are affected at 10:08 case 949',hostel,10,85,45,4,Network
'today we noticed that ceiling plaster appears loose near the entrance in g2 and the condition has become more frequent and it interrupts scheduled teaching at 10:07 case 950',academic,10,66,48,4,Infrastructure
'during the latest session water pressure is too low for normal use in g3 the water service needs attention and staff assistance has been requested at 13:55 case 951',academic,13,61,44,3,Water
'staff were informed that dust and litter remain around the workstations in cl22-b without any warning notice near the main entrance to the space at 11:18 case 952',lab,11,100,35,3,Cleanliness
'during the latest session the common area is overcrowded in main hall near the main entrance to the space although nearby rooms remain usable at 11:24 case 953',common,11,71,72,2,Other
'staff were informed that the writing surface is damaged and difficult to use in cl15-a although nearby rooms remain usable during a regular teaching period at 11:02 case 954',lab,11,73,52,4,Infrastructure
'today we noticed that network coverage disappears near the back rows in digital area the network service is affected after normal troubleshooting was attempted at 8:08 case 955',library,8,42,60,5,Network
'staff were informed that billing and collection lines are merging into one queue in counter a and staff assistance has been requested near the main entrance to the space at 12:09 case 957',food,12,64,59,2,Canteen
'a repeated observation is that the nearest water point is not operational in cooler b while the area is moderately occupied and it interrupts scheduled teaching at 11:14 case 958',utility,11,97,51,3,Water
'a repeated observation is that the display cable and wall port need repair in food court the physical infrastructure needs attention and staff assistance has been requested at 17:41 case 959',food,17,44,48,3,Cleanliness
'please investigate because the area has not been cleaned since the morning in counter a this is a hygiene and cleanliness concern while another campus service remains normal at 15:42 case 961',food,15,56,58,3,Cleanliness
'today we noticed that the refill indicator has remained empty in gh common room the water service needs attention and the condition has become more frequent at 11:57 case 962',hostel,11,100,39,2,Water
'a repeated observation is that internet speed falls below a usable level in h4 common room and staff assistance has been requested and the issue lasts more than ten minutes at 11:14 case 963',hostel,11,84,41,1,Network
'today we noticed that the refill indicator has remained empty in cs2 the water service needs attention after normal troubleshooting was attempted at 18:44 case 964',academic,18,58,40,2,Water
'staff were informed that the experiment console does not record readings in h4 common room while the area is moderately occupied near the main entrance to the space at 15:02 case 965',hostel,15,31,50,5,Lab_Equipment
'a repeated observation is that a campus service is unavailable without an explanation in cooler b and the condition has become more frequent without any warning notice at 9:22 case 966',utility,9,66,58,2,Other
'today we noticed that the corridor has a persistent hygiene problem in reading hall although nearby rooms remain usable although nearby rooms remain usable at 12:01 case 967',library,12,93,46,3,Cleanliness
'staff were informed that billing and collection lines are merging into one queue in cl22-b near the main entrance to the space and the issue lasts more than ten minutes at 8:19 case 968',lab,8,15,64,4,Electrical
'an urgent maintenance check is needed because standing water is creating an unhygienic patch in student parking this is a hygiene and cleanliness concern although nearby rooms remain usable at 14:55 case 969',outdoor,14,43,32,4,Cleanliness
'please investigate because the drinking-water dispenser is empty in cooler b the water service needs attention while the area is moderately occupied at 13:44 case 970',utility,13,90,76,2,Water
'students report that the air conditioner stops cooling after midday in backstage near the main entrance to the space while the area is moderately occupied at 8:22 case 971',common,8,64,68,5,Electrical
'for the second time this week the cleaning schedule appears to have been missed in gh corridor 1 this is a hygiene and cleanliness concern while the area is moderately occupied at 14:35 case 972',hostel,14,100,49,3,Cleanliness
'students report that the wifi signal is unstable for several devices in cr425 the network service is affected while another campus service remains normal at 13:11 case 973',academic,13,100,60,2,Network
'an urgent maintenance check is needed because pedestrian movement is restricted by stored material in h5 corridor 1 campus operations are being disrupted although nearby rooms remain usable at 14:05 case 974',hostel,14,100,56,5,Other
'staff were informed that the experiment console does not record readings in g3 and the issue lasts more than ten minutes although nearby rooms remain usable at 9:12 case 975',academic,9,37,62,3,Lab_Equipment
'today we noticed that ceiling plaster appears loose near the entrance in cooler b the physical infrastructure needs attention without any warning notice at 13:37 case 976',utility,13,15,44,2,Infrastructure
'an urgent maintenance check is needed because video lectures buffer on the campus connection in cooler a during a regular teaching period while the area is moderately occupied at 18:41 case 978',utility,18,57,42,4,Network
'please investigate because the ceiling fans are not operating in h4 corridor 2 and it interrupts scheduled teaching and it interrupts scheduled teaching at 16:24 case 979',hostel,16,41,50,2,Electrical
'an urgent maintenance check is needed because video lectures buffer on the campus connection in h4 corridor 1 the network service is affected and the issue lasts more than ten minutes at 8:22 case 980',hostel,8,44,58,5,Network
'staff were informed that online resources time out during the session in cr202 and the condition has become more frequent and several students are affected at 11:53 case 982',academic,11,59,42,2,Network
'a repeated observation is that the wash area needs urgent sanitation in food court while another campus service remains normal and it interrupts scheduled teaching at 8:07 case 983',food,8,43,45,5,Cleanliness
'for the second time this week the device driver is missing from the workstation in visitor parking laboratory equipment availability is affected and staff assistance has been requested at 8:49 case 984',outdoor,8,36,48,3,Lab_Equipment
'please investigate because the drinking-water dispenser is empty in h4 common room after normal troubleshooting was attempted near the main entrance to the space at 17:21 case 985',hostel,17,18,48,3,Water
'during the latest session students cannot authenticate to the wireless network in cl3-a the network service is affected and the condition has become more frequent at 14:02 case 986',lab,14,100,65,5,Network
'an urgent maintenance check is needed because signage for the room is missing in basketball court and the issue lasts more than ten minutes while another campus service remains normal at 15:01 case 988',sports,15,100,67,3,Infrastructure
'staff were informed that the writing surface is damaged and difficult to use in cl15-b near the main entrance to the space while the area is moderately occupied at 17:04 case 989',lab,17,53,69,3,Infrastructure
'students report that waste bins are overflowing into the corridor in cl1-a this is a hygiene and cleanliness concern and the issue lasts more than ten minutes at 13:54 case 990',lab,13,76,70,3,Cleanliness
'today we noticed that network coverage disappears near the back rows in g2 the network service is affected and staff assistance has been requested at 8:39 case 991',academic,8,45,44,3,Network
'students report that directional signage is unclear for new students in cl1-a campus operations are being disrupted without any warning notice at 15:17 case 992',lab,15,55,52,2,Other
'for the second time this week order processing has stopped at one counter in g2 and the condition has become more frequent and staff assistance has been requested at 13:19 case 994',academic,13,100,53,4,Canteen
'an urgent maintenance check is needed because video lectures buffer on the campus connection in gh corridor 1 and staff assistance has been requested and the condition has become more frequent at 9:17 case 995',hostel,9,67,39,1,Network
'a repeated observation is that laboratory equipment reports a calibration error in gym laboratory equipment availability is affected although nearby rooms remain usable at 18:06 case 997',sports,18,72,46,2,Lab_Equipment
'please investigate because parking congestion is blocking access in security post campus operations are being disrupted and several students are affected at 14:50 case 998',outdoor,14,84,62,1,Other
'a repeated observation is that the wash area needs urgent sanitation in cl3-a near the main entrance to the space and the issue lasts more than ten minutes at 12:37 case 999',lab,12,60,62,2,Cleanliness
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in cooler a the food service operation is affected after normal troubleshooting was attempted at 8:47 case 1000',utility,8,58,53,2,Canteen
'please investigate because the service queue is moving very slowly in cr102 and staff assistance has been requested after normal troubleshooting was attempted at 14:48 case 1001',academic,14,77,53,5,Canteen
'please investigate because the campus network drops repeatedly during class in gh corridor 1 the network service is affected after normal troubleshooting was attempted at 10:46 case 1002',hostel,10,58,30,1,Network
'a repeated observation is that laboratory equipment reports a calibration error in h5 corridor 2 laboratory equipment availability is affected and several students are affected at 18:13 case 1004',hostel,18,75,28,2,Lab_Equipment
'today we noticed that network coverage disappears near the back rows in cr101 the network service is affected although nearby rooms remain usable at 17:24 case 1005',academic,17,72,36,5,Network
'a repeated observation is that internet speed falls below a usable level in h5 corridor 1 the network service is affected and staff assistance has been requested at 17:56 case 1006',hostel,17,66,59,1,Network
'staff were informed that the experiment console does not record readings in ts12 laboratory equipment availability is affected and staff assistance has been requested at 18:19 case 1007',academic,18,42,20,3,Lab_Equipment
'today we noticed that the corridor has a persistent hygiene problem in g2 this is a hygiene and cleanliness concern after normal troubleshooting was attempted at 17:13 case 1008',academic,17,49,62,3,Cleanliness
'please investigate because the campus network drops repeatedly during class in counter a near the main entrance to the space and several students are affected at 12:58 case 1010',food,12,81,55,4,Network
'a repeated observation is that internet speed falls below a usable level in ece-201 although nearby rooms remain usable after normal troubleshooting was attempted at 12:00 case 1012',lab,12,82,62,2,Network
'staff were informed that the writing surface is damaged and difficult to use in h4 corridor 2 and the condition has become more frequent near the main entrance to the space at 13:51 case 1013',hostel,13,69,50,2,Infrastructure
'a repeated observation is that the display cable and wall port need repair in gate 1 and it interrupts scheduled teaching after normal troubleshooting was attempted at 14:46 case 1014',outdoor,14,73,36,1,Infrastructure
'please investigate because the ceiling fans are not operating in g6 and the condition has become more frequent near the main entrance to the space at 14:05 case 1015',academic,14,61,60,4,Electrical
'students report that directional signage is unclear for new students in cl22-b without any warning notice and the condition has become more frequent at 17:04 case 1016',lab,17,48,89,1,Other
'for the second time this week the device driver is missing from the workstation in cr101 laboratory equipment availability is affected and several students are affected at 15:09 case 1018',academic,15,64,44,2,Lab_Equipment
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in gym the food service operation is affected although nearby rooms remain usable at 15:06 case 1019',sports,15,83,62,1,Canteen
'during the latest session water pressure is too low for normal use in washroom g the water service needs attention and the issue lasts more than ten minutes at 16:03 case 1020',utility,16,53,44,4,Water
'today we noticed that charging points are unavailable in main hall although nearby rooms remain usable and staff assistance has been requested at 15:11 case 1021',common,15,57,46,2,Electrical
'please investigate because the drinking-water dispenser is empty in cooler a near the main entrance to the space while another campus service remains normal at 14:35 case 1022',utility,14,54,63,5,Water
'students report that several desks have loose or damaged fittings in cr425 the physical infrastructure needs attention after normal troubleshooting was attempted at 13:27 case 1023',academic,13,68,58,2,Infrastructure
'today we noticed that the refill indicator has remained empty in cooler b the water service needs attention and the issue lasts more than ten minutes at 16:04 case 1024',utility,16,66,66,2,Water
'today we noticed that multiple computers show storage errors in security post although nearby rooms remain usable while the area is moderately occupied at 14:37 case 1025',outdoor,14,88,27,1,Lab_Equipment
'students report that several desks have loose or damaged fittings in ts18 and the issue lasts more than ten minutes while the area is moderately occupied at 9:43 case 1026',academic,9,94,54,4,Infrastructure
'staff were informed that dust and litter remain around the workstations in cr101 while another campus service remains normal while the area is moderately occupied at 14:41 case 1027',academic,14,63,57,3,Cleanliness
'please investigate because the campus network drops repeatedly during class in security post and the condition has become more frequent near the main entrance to the space at 17:11 case 1028',outdoor,17,44,70,1,Network
'students report that water is leaking into the walking area in cl1-a the water service needs attention and the condition has become more frequent at 16:12 case 1029',lab,16,65,71,3,Electrical
'staff were informed that the writing surface is damaged and difficult to use in cl22-a the physical infrastructure needs attention and staff assistance has been requested at 15:18 case 1030',lab,15,70,51,3,Other
'an urgent maintenance check is needed because the filtration unit shows a service warning in cr201 without any warning notice during a regular teaching period at 17:26 case 1031',academic,17,65,60,2,Water
'a repeated observation is that a campus service is unavailable without an explanation in student parking while another campus service remains normal during a regular teaching period at 9:14 case 1032',outdoor,9,61,73,2,Other
'a repeated observation is that the nearest water point is not operational in h5 common room without any warning notice while another campus service remains normal at 12:35 case 1033',hostel,12,70,53,2,Water
'for the second time this week the ventilation fan does not start in academic office the electrical supply needs inspection and several students are affected at 15:21 case 1034',office,15,95,52,3,Electrical
'students report that the air conditioner stops cooling after midday in h5 corridor 2 the electrical supply needs inspection while the area is moderately occupied at 10:18 case 1035',hostel,10,78,69,3,Electrical
'for the second time this week the cleaning schedule appears to have been missed in counter a and staff assistance has been requested and the issue lasts more than ten minutes at 14:12 case 1036',food,14,39,38,2,Cleanliness
'during the latest session the classroom door cannot close safely in h4 corridor 2 and the condition has become more frequent although nearby rooms remain usable at 18:27 case 1037',hostel,18,40,72,3,Infrastructure
'an urgent maintenance check is needed because video lectures buffer on the campus connection in ece-201 the network service is affected during a regular teaching period at 8:42 case 1038',lab,8,84,41,3,Network
'for the second time this week the ventilation fan does not start in g6 without any warning notice during a regular teaching period at 15:20 case 1039',academic,15,70,65,1,Electrical
'an urgent maintenance check is needed because the filtration unit shows a service warning in group study although nearby rooms remain usable after normal troubleshooting was attempted at 15:40 case 1040',library,15,63,91,3,Water
'for the second time this week order processing has stopped at one counter in cl22-a while another campus service remains normal while the area is moderately occupied at 10:31 case 1041',lab,10,15,57,1,Canteen
'staff were informed that a tap continues running after it is closed in cr425 the water service needs attention while another campus service remains normal at 17:00 case 1043',academic,17,70,75,2,Water
'today we noticed that seating capacity is insufficient during the meal break in billing counter after normal troubleshooting was attempted after normal troubleshooting was attempted at 10:51 case 1044',food,10,88,81,3,Canteen
'please investigate because the campus network drops repeatedly during class in indoor court without any warning notice while the area is moderately occupied at 13:44 case 1045',sports,13,100,35,1,Network
'please investigate because the projector loses its input after a few minutes in g1 the physical infrastructure needs attention and the condition has become more frequent at 12:53 case 1047',academic,12,75,62,2,Infrastructure
'students report that only one billing counter is open during the rush in ts17 the food service operation is affected and staff assistance has been requested at 14:50 case 1048',academic,14,79,31,4,Canteen
'for the second time this week water is collecting beneath the dispenser in ff6 the water service needs attention and staff assistance has been requested at 17:57 case 1049',academic,17,52,52,2,Water
'during the latest session the classroom door cannot close safely in counter a after normal troubleshooting was attempted near the main entrance to the space at 17:49 case 1050',food,17,28,47,3,Infrastructure
'a repeated observation is that a power socket is loose and unsafe in security post although nearby rooms remain usable near the main entrance to the space at 15:47 case 1053',outdoor,15,78,49,3,Electrical
'during the latest session lights flicker repeatedly during use in h5 corridor 1 while another campus service remains normal while another campus service remains normal at 11:41 case 1054',hostel,11,44,45,3,Electrical
'during the latest session the common area is overcrowded in indoor court campus operations are being disrupted during a regular teaching period at 13:10 case 1055',sports,13,66,54,3,Other
'today we noticed that network coverage disappears near the back rows in g2 and the condition has become more frequent after normal troubleshooting was attempted at 8:26 case 1056',academic,8,81,67,3,Network
'a repeated observation is that internet speed falls below a usable level in washroom 1 the network service is affected and several students are affected at 17:24 case 1057',utility,17,53,73,4,Network
